year,month,REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,03,2018-03-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,100.91116173120732,,,,1
2018,03,2018-03-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,99.65445749827228,,,,1
2018,03,2018-03-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,100.21474588403723,,,,1
2018,03,2018-03-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,100.40849673202614,,,,1
2018,03,2018-03-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,103.59869138495092,,,,1
2018,03,2018-03-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,100.58309037900874,,,,1
2018,03,2018-03-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,100.95923261390887,,,,1
2018,03,2018-03-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,104.11449016100181,,,,1
2018,03,2018-03-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,101.71568627450982,,,,1
2018,03,2018-03-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,101.08359133126936,,,,1
2018,03,2018-03-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,101.1093502377179,,,,1
2018,04,2018-04-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,101.2148823082764,,,,1
2018,04,2018-04-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,100.06910850034556,,,,1
2018,04,2018-04-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,100.42949176807446,,,,1
2018,04,2018-04-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,101.22549019607843,,,,1
2018,04,2018-04-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,104.907306434024,,,,1
2018,04,2018-04-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,101.67638483965015,,,,1
2018,04,2018-04-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,100.87929656274981,,,,1
2018,04,2018-04-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,101.6994633273703,,,,1
2018,04,2018-04-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,102.87990196078431,,,,1
2018,04,2018-04-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,101.39318885448918,,,,1
2018,04,2018-04-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,101.03011093502377,,,,1
2018,05,2018-05-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,101.29081245254368,,,,1
2018,05,2018-05-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,99.93089149965446,,,,1
2018,05,2018-05-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,100.50107372942021,,,,1
2018,05,2018-05-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,100.32679738562092,,,,1
2018,05,2018-05-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,104.0348964013086,,,,1
2018,05,2018-05-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,101.82215743440233,,,,1
2018,05,2018-05-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,100.63948840927259,,,,1
2018,05,2018-05-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,104.20393559928445,,,,1
2018,05,2018-05-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,103.00245098039215,,,,1
2018,05,2018-05-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,101.54798761609906,,,,1
2018,05,2018-05-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,101.1093502377179,,,,1
2018,06,2018-06-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,101.44267274107821,,,,1
2018,06,2018-06-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,100.62197650310989,,,,1
2018,06,2018-06-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,100.57265569076594,,,,1
2018,06,2018-06-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,100.16339869281046,,,,1
2018,06,2018-06-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,102.72628135223556,,,,1
2018,06,2018-06-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,102.4052478134111,,,,1
2018,06,2018-06-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,100.95923261390887,,,,1
2018,06,2018-06-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,103.39892665474059,,,,1
2018,06,2018-06-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,103.49264705882355,,,,1
2018,06,2018-06-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,101.54798761609906,,,,1
2018,06,2018-06-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,101.26782884310617,,,,1
2018,07,2018-07-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,101.97418375094915,,,,1
2018,07,2018-07-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,100.9675190048376,,,,1
2018,07,2018-07-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,100.93056549749464,,,,1
2018,07,2018-07-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,100.5718954248366,,,,1
2018,07,2018-07-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,101.41766630316249,,,,1
2018,07,2018-07-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,103.49854227405248,,,,1
2018,07,2018-07-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,100.79936051159073,,,,1
2018,07,2018-07-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,105.45617173524151,,,,1
2018,07,2018-07-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,103.55392156862746,,,,1
2018,07,2018-07-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,102.1671826625387,,,,1
2018,07,2018-07-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,101.82250396196513,,,,1
2018,08,2018-08-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,101.89825360668185,,,,1
2018,08,2018-08-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,100.82930200414653,,,,1
2018,08,2018-08-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,101.07372942018611,,,,1
2018,08,2018-08-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,100.40849673202614,,,,1
2018,08,2018-08-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,102.18102508178843,,,,1
2018,08,2018-08-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,102.98833819241983,,,,1
2018,08,2018-08-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,101.27897681854516,,,,1
2018,08,2018-08-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,105.09838998211092,,,,1
2018,08,2018-08-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,103.86029411764706,,,,1
2018,08,2018-08-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,102.08978328173377,,,,1
2018,08,2018-08-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,101.82250396196513,,,,1
2018,09,2018-09-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,101.51860288534549,,,,1
2018,09,2018-09-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,100.1382170006911,,,,1
2018,09,2018-09-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,101.28847530422334,,,,1
2018,09,2018-09-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,100.49019607843137,,,,1
2018,09,2018-09-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,104.68920392584515,,,,1
2018,09,2018-09-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,100.87463556851313,,,,1
2018,09,2018-09-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,100.79936051159073,,,,1
2018,09,2018-09-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,104.65116279069768,,,,1
2018,09,2018-09-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,103.9828431372549,,,,1
2018,09,2018-09-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,101.78018575851394,,,,1
2018,09,2018-09-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,101.50554675118859,,,,1
2018,10,2018-10-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,101.82232346241457,,,,1
2018,10,2018-10-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,99.93089149965446,,,,1
2018,10,2018-10-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,101.64638511095205,,,,1
2018,10,2018-10-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,101.30718954248366,,,,1
2018,10,2018-10-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,105.9978189749182,,,,1
2018,10,2018-10-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,101.53061224489797,,,,1
2018,10,2018-10-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,100.95923261390887,,,,1
2018,10,2018-10-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,103.84615384615385,,,,1
2018,10,2018-10-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,103.9828431372549,,,,1
2018,10,2018-10-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,102.1671826625387,,,,1
2018,10,2018-10-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,102.06022187004756,,,,1
2018,11,2018-11-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,101.36674259681094,,,,1
2018,11,2018-11-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,100.9675190048376,,,,1
2018,11,2018-11-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,101.86113099498928,,,,1
2018,11,2018-11-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,101.1437908496732,,,,1
2018,11,2018-11-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,104.58015267175573,,,,1
2018,11,2018-11-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,99.92711370262391,,,,1
2018,11,2018-11-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,100.0,,,,1
2018,11,2018-11-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,102.2361359570662,,,,1
2018,11,2018-11-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,104.10539215686276,,,,1
2018,11,2018-11-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,101.39318885448918,,,,1
2018,11,2018-11-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,101.74326465927099,,,,1
2018,12,2018-12-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,101.29081245254368,,,,1
2018,12,2018-12-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,101.93503800967521,,,,1
2018,12,2018-12-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,101.86113099498928,,,,1
2018,12,2018-12-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,100.81699346405229,,,,1
2018,12,2018-12-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,100.98146128680479,,,,1
2018,12,2018-12-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,100.58309037900874,,,,1
2018,12,2018-12-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,100.39968025579536,,,,1
2018,12,2018-12-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,100.98389982110913,,,,1
2018,12,2018-12-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,103.73774509803924,,,,1
2018,12,2018-12-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,101.1609907120743,,,,1
2018,12,2018-12-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,101.82250396196513,,,,1
2019,01,2019-01-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,101.44267274107821,,,,1
2019,01,2019-01-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,102.76434001382171,,,,1
2019,01,2019-01-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,102.36220472440947,,,,1
2019,01,2019-01-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,100.73529411764706,,,,1
2019,01,2019-01-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,100.5452562704471,,,,1
2019,01,2019-01-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,99.56268221574345,,,,1
2019,01,2019-01-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,100.63948840927259,,,,1
2019,01,2019-01-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,101.3416815742397,,,,1
2019,01,2019-01-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,104.53431372549021,,,,1
2019,01,2019-01-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,101.1609907120743,,,,1
2019,01,2019-01-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,101.90174326465926,,,,1
2019,02,2019-02-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,102.12604403948369,,,,1
2019,02,2019-02-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,103.17899101589497,,,,1
2019,02,2019-02-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,102.64853256979242,,,,1
2019,02,2019-02-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,100.98039215686273,,,,1
2019,02,2019-02-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,103.38058887677208,,,,1
2019,02,2019-02-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,100.51020408163266,,,,1
2019,02,2019-02-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,101.03916866506795,,,,1
2019,02,2019-02-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,103.04114490161002,,,,1
2019,02,2019-02-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,104.71813725490198,,,,1
2019,02,2019-02-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,101.93498452012383,,,,1
2019,02,2019-02-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,102.69413629160063,,,,1
2019,03,2019-03-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,102.80941533788916,,,,1
2019,03,2019-03-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,103.2480995162405,,,,1
2019,03,2019-03-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,102.9348604151754,,,,1
2019,03,2019-03-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,100.89869281045752,,,,1
2019,03,2019-03-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,105.12540894220284,,,,1
2019,03,2019-03-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,102.47813411078717,,,,1
2019,03,2019-03-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,101.19904076738608,,,,1
2019,03,2019-03-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,104.29338103756709,,,,1
2019,03,2019-03-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,104.71813725490198,,,,1
2019,03,2019-03-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,102.70897832817339,,,,1
2019,03,2019-03-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,103.01109350237718,,,,1
2019,04,2019-04-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,103.26499620349279,,,,1
2019,04,2019-04-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,102.97166551485834,,,,1
2019,04,2019-04-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,103.14960629921259,,,,1
2019,04,2019-04-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,101.1437908496732,,,,1
2019,04,2019-04-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,105.9978189749182,,,,1
2019,04,2019-04-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,104.22740524781342,,,,1
2019,04,2019-04-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,101.59872102318145,,,,1
2019,04,2019-04-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,103.57781753130591,,,,1
2019,04,2019-04-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,104.96323529411767,,,,1
2019,04,2019-04-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,103.25077399380807,,,,1
2019,04,2019-04-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,103.09033280507131,,,,1
2019,05,2019-05-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,103.72057706909644,,,,1
2019,05,2019-05-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,103.45542501727714,,,,1
2019,05,2019-05-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,103.22118826055835,,,,1
2019,05,2019-05-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,101.22549019607843,,,,1
2019,05,2019-05-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,105.45256270447109,,,,1
2019,05,2019-05-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,104.95626822157436,,,,1
2019,05,2019-05-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,101.7585931254996,,,,1
2019,05,2019-05-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,106.08228980322004,,,,1
2019,05,2019-05-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,105.20833333333333,,,,1
2019,05,2019-05-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,103.79256965944272,,,,1
2019,05,2019-05-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,103.56576862123612,,,,1
2019,06,2019-06-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,103.49278663629462,,,,1
2019,06,2019-06-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,104.14651002073253,,,,1
2019,06,2019-06-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,103.07802433786686,,,,1
2019,06,2019-06-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,101.38888888888889,,,,1
2019,06,2019-06-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,103.4896401308615,,,,1
2019,06,2019-06-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,104.00874635568513,,,,1
2019,06,2019-06-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,102.0783373301359,,,,1
2019,06,2019-06-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,105.45617173524151,,,,1
2019,06,2019-06-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,104.90196078431373,,,,1
2019,06,2019-06-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,103.32817337461302,,,,1
2019,06,2019-06-28,Canada,2016A000011124,All-items excluding food and energy,2002=100,17,units,0,v41691233,2.285,103.64500792393028,,,,1
2019,07,2019-07-28,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,104.02429764616554,,,,1
2019,07,2019-07-28,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,104.76848652384243,,,,1
2019,07,2019-07-28,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,103.2927702219041,,,,1
2019,07,2019-07-28,Canada,2016A000011124,"Household operations, furnishings and equipment",2002=100,17,units,0,v41691067,2.96,100.89869281045752,,,,1
2019,07,2019-07-28,Canada,2016A000011124,Clothing and footwear,2002=100,17,units,0,v41691108,2.1390000000000002,102.5081788440567,,,,1
2019,07,2019-07-28,Canada,2016A000011124,Transportation,2002=100,17,units,0,v41691128,2.176,105.10204081632652,,,,1
2019,07,2019-07-28,Canada,2016A000011124,Health and personal care,2002=100,17,units,0,v41691153,2.201,102.31814548361311,,,,1
2019,07,2019-07-28,Canada,2016A000011124,"Recreation, education and reading",2002=100,17,units,0,v41691170,2.219,108.31842576028623,,,,1
2019,07,2019-07-28,Canada,2016A000011124,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,17,units,0,v41691206,2.256,104.77941176470588,,,,1
2019,07,2019-07-28,Canada,2016A000011124,All-items excluding food,2002=100,17,units,0,v41691232,2.2840000000000003,103.86996904024768,,,,1
